base_cake,truffle_type,primary_flavor,secondary_flavor,color_group,customer,date,kg
Butter,Chocolate Outer,Spice,Black Cherry,Tiffany,Slugworth,2010-01-01,10329.597624285594
Tiramisu,Candy Outer,Spice,Rock and Rye,Taupe,Slugworth,2010-01-01,9710.539637688573
Sponge,Jelly Filled,Wild Cherry Cream,Wild Cherry Cream,Slate,Slugworth,2010-01-01,8121.85903554644
Sponge,Chocolate Outer,Fruit Punch,Pear,Teal,Slugworth,2010-01-01,1268.7600628167895
Pound,Chocolate Outer,Orange,Cucumber,Taupe,Slugworth,2010-01-01,4086.4423674753375
Butter,Candy Outer,Coconut,Wild Cherry Cream,Taupe,Slugworth,2010-01-01,6525.679384133378
Butter,Chocolate Outer,Irish Cream,Kiwi,Slate,Slugworth,2010-01-01,3356.449263856428
Cheese,Jelly Filled,Dill Pickle,Peppermint,Teal,Slugworth,2010-01-01,3482.269298118461
Chiffon,Candy Outer,Coconut,Kiwi,White,Slugworth,2010-01-01,12158.786410551118
Butter,Candy Outer,Horchata,Cucumber,Tiffany,Slugworth,2010-01-01,6790.625522862952
Butter,Jelly Filled,Ginger Ale,Fuzzy Navel,Olive,Slugworth,2010-01-01,5433.089445663753
Cheese,Jelly Filled,Lemon,Pear,Black,Slugworth,2010-01-01,4068.5838569907764
Cheese,Chocolate Outer,Chocolate,Fuzzy Navel,Rose,Slugworth,2010-01-01,1951.8850683220949
Tiramisu,Candy Outer,Chocolate Mint,Fuzzy Navel,Amethyst,Slugworth,2010-01-01,11719.983312368075
Sponge,Chocolate Outer,Vanilla,Black Cherry,Slate,Slugworth,2010-01-01,8622.350086798788
Chiffon,Jelly Filled,Plum,Banana,Olive,Slugworth,2010-01-01,5091.718872752308
Tiramisu,Candy Outer,Bavarian Cream,Butter Rum,Rose,Slugworth,2010-01-01,8816.823194016222
Sponge,Jelly Filled,Cherry Cola,Vanilla,Rose,Slugworth,2010-01-01,8788.741560976134
Sponge,Chocolate Outer,Cheesecake,Mojito,Amethyst,Slugworth,2010-01-01,12541.214683567661
Cheese,Candy Outer,Kettle Corn,Toffee,Opal,Slugworth,2010-01-01,2563.838042661447
Butter,Candy Outer,Orange Pineapple	P,Dill Pickle,Slate,Slugworth,2010-01-01,3933.5516875491135
Sponge,Jelly Filled,Sassafras,Black Cherry,Amethyst,Slugworth,2010-01-01,3410.57866002949
Chiffon,Jelly Filled,Chocolate,Black Currant,Rose,Slugworth,2010-01-01,5985.734279871847
Tiramisu,Candy Outer,Orange Pineapple	P,Apple,Rose,Slugworth,2010-01-01,2637.8186773426223
Butter,Chocolate Outer,Watermelon,Toffee,Teal,Slugworth,2010-01-01,2670.4199076332293
Chiffon,Jelly Filled,Lemon Bar,Apple,Tiffany,Perk-a-Cola,2010-01-01,10996.251270842231
Tiramisu,Jelly Filled,Vanilla,Tutti Frutti,Rose,Perk-a-Cola,2010-01-01,32046.26407089692
Cheese,Candy Outer,Pink Lemonade,Fuzzy Navel,Opal,Perk-a-Cola,2010-01-01,8661.22613398624
