product,base_cake,truffle_type,primary_flavor,secondary_flavor,color_group,rate_kg_per_hr,cost_usd_per_kg,price_usd_per_kg,ebit_per_kg,ebit_per_hr,kg_produced
TirChoDilTutOpa,Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,1.6232837535912703,0.4534842031803968,2.116224251606953,1.6627400484265562,2.6990989070563907,2628.798421662528
TirChoButRocTif,Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,1.6554364846619771,0.7628976582216648,1.8759383754032934,1.1130407171816286,1.842568212136801,1759.7216614479314
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,1.0209377659077488,0.8959808169462555,2.38467498495335,1.4886941680070944,1.5198640980050577,2353.6312142710262
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,1.1880699671968338,0.7583655706535035,2.034872755758755,1.2765071851052516,1.5165798495345189,2018.1627769301808
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,1.1950833619295913,0.7688412584178717,2.034872755758755,1.2660314973408835,1.5130131781508975,2001.6006742209452
TirJelBirHazSla,Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,1.4312882701764968,0.6300697143518867,1.6823351835782194,1.0522654692263327,1.5060952232154174,1663.635760316112
TirChoVanLemRos,Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,1.1155237351268583,0.7766124324939327,2.034872755758755,1.2582603232648224,1.4036192555703029,1989.314418071076
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.7429197067226244,0.6029302855427888,2.38467498495335,1.7817446994105612,1.3236932495406848,2816.9452332902933
TirJelDilTofSla,Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,0.7058155368799307,0.5366825497315091,2.38467498495335,1.8479924352218409,1.3043417728161542,2921.6831588031882
TirCanBirMojOpa,Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,1.4220241946740484,0.7804944004421871,1.6671343148693072,0.8866399144271201,1.2608234102790927,1401.7811201664604
