base_cake,truffle_type,primary_flavor,secondary_flavor,color_group,ebit_per_hr
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,2.6990989070563907
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,1.842568212136801
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,1.5198640980050577
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,1.5165798495345189
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,1.5130131781508975
Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,1.5060952232154174
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,1.4036192555703029
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,1.3236932495406848
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,1.3043417728161542
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,1.2608234102790927
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,1.2497202757629144
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,1.2263125321289765
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,1.2064337924353907
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,1.1882496581680506
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,1.1738863165598123
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,1.1574399787366274
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,1.1386102857125158
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,1.1188948428588492
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,1.1130585087563971
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,1.1008739109061696
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,1.0906000661724082
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,1.0775429751254921
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,1.074499098810176
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,1.0641881339370611
Tiramisu,Chocolate Outer,Vanilla,Lemon,Rose,1.0637523521741787
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,1.0545137283488393
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,1.0510250946111117
Tiramisu,Candy Outer,Chocolate Mint,Cucumber,Burgundy,1.0480113058412925
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,1.0479587436917923
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,1.0457912831432812
Tiramisu,Jelly Filled,Birch Beer,Hazelnut,Slate,1.023005626157391
Tiramisu,Chocolate Outer,Butter Toffee,Rock and Rye,Tiffany,1.0188786974036832
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,1.0079548221584993
Tiramisu,Jelly Filled,Dill Pickle,Toffee,Slate,1.0061461915347008
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.9984783910410098
Tiramisu,Candy Outer,Birch Beer,Mojito,Opal,0.997158843968493
Tiramisu,Chocolate Outer,Fruit Punch,Dill Pickle,Olive,0.9903282246037928
Tiramisu,Candy Outer,Cherry Cola,Lemon,Taupe,0.9844095924591972
Tiramisu,Chocolate Outer,Dill Pickle,Tutti Frutti,Opal,0.9635993741438704
