base_cake,truffle_type,primary_flavor,secondary_flavor,color_group,line,rate
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.17176810051680041
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.05268105671166429
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.6791215945716927
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,-0.11703317789830614
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.3236917587992395
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.5555531736583456
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.3555395058309815
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.5843627694123515
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.5005930485312046
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.23760925263808383
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.5954184965055442
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.11765889458601078
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.4975847795366459
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.33098312573600125
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.1498017339275347
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.5766215423889302
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,-0.0800549284159901
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.45787695184319865
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.16544037049788796
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.41956764238130406
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.5011533831274488
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.12828359343596224
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.25591041748054566
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.3491315890223321
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.10904495726570299
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.47749533569322
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.21289690645820128
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.5658944122405356
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.40628593381456435
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.41740957381966426
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.09916587246185635
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.15713725796439576
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.4050197993151252
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.1368835218732906
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.11952400029700655
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.4362711017580865
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.29718124619100084
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.08204562581524283
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.4135847025731549
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.4653213159038083
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,-0.1632153499291104
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.23963052567531393
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.1070972128261676
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.03812718936286627
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.4859327737411084
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.6341533398241733
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.49493582948095316
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.6351002710008794
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.08963698683916194
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.18805001445136094
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.41182621116497864
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.2699840378959438
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.3785524319202212
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.18801774212703254
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.10421502610689212
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.2650603386357824
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.3875988958047718
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.2368551747585755
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,-0.019763047974912185
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.4395090681412963
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.12243657368039895
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.2313817376629081
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.1687270033183454
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.2761818889435189
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.36965090270783235
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.3621450054299214
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.5291522865916795
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.7042653572139106
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.5831444071269919
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.2658443792985633
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.32463557765647155
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.2705438586258784
Cheese,Chocolate Outer,Chocolate,Dill Pickle,Amethyst,R,0.2966658245401035
