base_cake,truffle_type,primary_flavor,secondary_flavor,color_group,customer,1/2010,2/2010,3/2010,4/2010,5/2010,6/2010,7/2010,8/2010,9/2010,10/2010,11/2010,12/2010,1/2011,2/2011,3/2011,4/2011,5/2011,6/2011,7/2011,8/2011,9/2011,10/2011,11/2011,12/2011,1/2012,2/2012,3/2012,4/2012,5/2012,6/2012,7/2012,8/2012,9/2012,10/2012,11/2012,12/2012,1/2013,2/2013,3/2013,4/2013,5/2013,6/2013,7/2013,8/2013,9/2013,10/2013,11/2013,12/2013,1/2014,2/2014,3/2014,4/2014,5/2014,6/2014,7/2014,8/2014,9/2014,10/2014,11/2014,12/2014,1/2015,2/2015,3/2015,4/2015,5/2015,6/2015,7/2015,8/2015,9/2015,10/2015,11/2015,12/2015,1/2016,2/2016,3/2016,4/2016,5/2016,6/2016,7/2016,8/2016,9/2016,10/2016,11/2016,12/2016,1/2017,2/2017,3/2017,4/2017,5/2017,6/2017,7/2017,8/2017,9/2017,10/2017,11/2017,12/2017,1/2018,2/2018,3/2018,4/2018,5/2018,6/2018,7/2018,8/2018,9/2018,10/2018,11/2018,12/2018,1/2019,2/2019,3/2019,4/2019,5/2019,6/2019,7/2019,8/2019,9/2019,10/2019,11/2019,12/2019,1/2020,2/2020,3/2020,4/2020,5/2020,6/2020,7/2020,8/2020,9/2020,10/2020,11/2020,12/2020
Cheese,Candy Outer,Horchata,Vanilla,Amethyst,Perk-a-Cola,12570.33516482565,11569.168746227244,13616.812204459799,11884.3708810225,13950.332334409886,12781.156535682427,14256.210023357235,12887.711959877464,15038.574005789535,12626.48930557771,14611.291109090684,13194.81429999148,14921.016215576235,13477.391456909945,15409.211079596587,13999.215068692509,15597.436975845374,14098.124978232741,15596.818092478728,14941.69403166363,15715.347212025836,14181.212141927937,16282.0980055455,14650.929410064906,16433.209008286325,15400.579033515969,16756.981262857273,15128.148250492244,17523.979943307248,15413.044691473402,16366.26437701746,14568.470958551738,16901.11154186154,14659.021365286095,16494.903960781197,15398.721298130029,17938.090871773184,15850.357871131579,18236.778754419985,15956.750789202086,17401.696472111977,15890.10321935092,17283.79073343649,16302.509223010222,17229.64501478726,16223.309276278229,17796.223621100053,16344.001270241426,17782.006164552513,16326.588260101846,18253.569321985724,16818.12312918114,18554.339808786317,16900.704327264033,18479.00603218699,17042.963875823145,18287.35559715585,17244.887842050513,18822.494484753846,17603.725932131478,18766.104076650663,17170.12649068024,19632.147600450644,16856.921979192426,18854.690380403008,17880.884218985302,19087.480847049384,18196.112254637803,19770.963054596545,16488.739325030063,19699.01989730995,17194.707087425755,19372.65790157132,17715.24432224015,19227.53144133251,17691.136252909622,20114.53450629712,17926.252604903035,19880.02532889845,16690.02893115867,19928.026946955295,18553.766165315024,20547.154033981024,17301.11715078875,19538.97650435099,17902.44835514176,21269.577926886348,18842.69654955895,20095.445399491342,17670.300576591326,20310.884287446843,18754.841781829517,20736.279238797026,18617.387584546323,20783.711233906757,17470.755864944782,20523.579839792714,18796.936905805047,20028.582492587033,18677.535295190337,20048.107421752196,18929.24861718753,20571.155902477956,18207.204656231734,20839.04289237627,18966.53298378622,20909.977545252816,18589.807151786375,21287.370122673106,17987.976866769444,21111.062684974822,18538.311320658097,21797.26713239234,18935.35277235507,21331.37841983855,18783.759610742716,22139.12337340894,18553.797270636038,21579.50628438568,19726.433111231116,21147.624131226225,19232.360491469408,21575.521051104406,18856.1781102771,20701.250675822652,19406.448559709923,22328.687162949856,19384.824041986754,21449.154889830097,19554.405589501956,21873.104938389297,19572.860127015803
Tiramisu,Chocolate Outer,Irish Cream,Egg Nog,Slate,Dandy's Candies,7922.970435755875,6464.558624557852,6616.092291339302,8244.99192849074,6602.132648831447,7032.700478017239,8437.51786491032,6919.862785612867,7003.449553908348,8516.767748894375,7541.471509738201,7145.880001418417,8821.556334427927,7325.240198952893,7618.246522767756,9385.832260038223,7705.86041118046,7709.84338277214,9471.542414629692,7791.968645064965,8214.485180606034,9393.875864340402,7911.159819912994,8181.208339461084,9750.400650582584,8084.792748554436,8234.370603397823,9777.17973136888,8134.87616604373,8449.426299942364,9911.512891151473,8686.751188375996,8359.638695812075,10147.391908034218,8655.976824611678,8654.796617177677,10104.950388855395,8784.842420614295,8478.921391420692,10430.837478191324,8896.552485388667,8970.462407730836,10671.841629790702,8979.776865839653,9117.996842940533,10866.153583296747,9219.772907358501,8755.395253357201,10846.871924377518,9376.94686356269,9421.861966513583,10637.515711249402,9029.450055335123,9500.060779690233,11069.44247380589,9193.261746739725,9711.312383428749,11175.067687227045,9534.715938945188,9249.322750960773,11712.38634652006,9125.84033602441,9480.85359494423,11357.324545253543,9927.550866635655,9591.73008557166,11231.607121733354,9299.146638210203,9596.707769730408,11477.752016448752,9509.471378734874,9833.766964384287,11637.061042277304,10249.937007977449,9630.654645653369,11715.313686642306,9834.857356473165,9923.319583175364,11540.21399988311,9914.977638012764,9839.24754577357,11621.845480321092,10320.123195029897,9931.373399425382,12139.61086163731,10330.513083005631,10065.56442346335,12511.15156262434,10235.833624110834,10143.422781527192,12029.457626065825,10423.862251108236,9709.721305335659,12367.917468985292,10109.247976037963,10597.517265512226,12723.5463522246,10535.166596435054,10043.352957727358,12434.413542605607,10594.590383806717,10473.165191456199,12323.923035733365,10232.771158747533,9973.322947031995,12450.632425724656,10247.199668255607,10310.557748598589,12527.881699276546,10288.118368110561,10792.495418090462,12538.911063770794,10564.257281551865,10672.337286331485,12442.348062078905,10975.342816118953,10504.218214197736,12700.92530684797,10853.622645235087,10917.98171831956,13005.9635325601,10610.202654021876,10145.39410638099,13132.925131235836,10821.80570894535,10829.961838234654,12995.340352464158,10504.81419491185,10617.199735039858,13377.16567290543,11065.835571097508,11135.386324265059
Sponge,Chocolate Outer,Ginger Ale,Apple,Slate,Dandy's Candies,10521.30672166583,5543.335644649658,5294.892373849409,11010.452412927234,5267.190367124247,5546.045668869176,11394.36262019315,5712.245098354699,5798.349463192845,11781.306992670552,5918.299339466434,5892.693500007906,12298.538323604971,6260.141878395333,6244.74273561363,12336.799352664086,6201.024217435944,6638.056330538247,12661.775735641451,6545.099807881447,6536.149679061984,12757.183923075274,6717.449248357055,6473.324996561569,13467.205625783985,6806.690857401078,7052.340323024359,13488.253356977237,6613.263035611509,7017.9028392627,13676.45852988002,6925.928151332898,6931.425251837782,13418.56420727629,7103.174034052946,7196.960495237354,14151.48854856134,7111.090574838089,7081.51505450262,14191.122517239657,7035.802934801486,7291.333819225813,14408.639350157673,7156.43483843036,7163.582533637284,14492.988174642038,7624.145266320996,7083.592493776321,14968.313032515747,7830.006047160324,7545.11204180679,15167.978440746227,7302.002152060832,7591.6370758705925,15155.68465523246,7394.32978624507,7556.087202768884,15465.221971362316,7600.754341331256,7648.24058128713,15775.927231738,7313.192902804476,7455.322442975416,15422.759794913043,7881.597987308074,7790.463263632076,15431.04977823507,7662.9399380859995,7765.812212192941,15783.205378580727,7717.703305495443,7723.199007728997,15980.044498322743,8292.458077099345,8026.376608772654,15864.783856393193,7900.937074430218,7853.212888575674,16274.326721753636,8093.3553984874015,8286.024191529172,16047.976284078053,8449.836701243094,8446.970476242132,16209.11572999248,7958.414123569158,8058.115058906316,16574.02050455789,8512.963342002287,8161.66498968181,16270.318224342449,8102.783547288641,8486.837093812805,16402.754127067463,8037.467788876084,8184.225798628477,16627.3698385646,8287.85380501996,8307.474775851166,16869.445360429116,8090.179106211465,8258.503637865942,16961.500038492188,8261.880924278455,8221.327714688789,16468.85801350788,8243.277819077415,8381.807680908487,16778.471018986344,8673.021736864577,8552.964237153099,16902.958240682314,8346.914161732922,8431.816880045862,17088.184916129263,8928.738286393078,8511.985933502947,17273.307554185478,8242.17357760512,8755.268429202368,16961.225344388604,8686.594959271586,8516.098909629973,17498.91179153779,8369.84684861255,8334.206937098206,17519.678689686025,8595.378914868195,8909.34804042535,17234.63647514676,9002.216839326033,8794.467252062728
Cheese,Chocolate Outer,Coffee,Pear,Opal,Dandy's Candies,4739.122199688704,2733.2810347312693,4984.394796965439,2750.7095192954353,5274.473184930693,2737.7361090191775,5236.191951690441,2807.5041416914296,5581.285441210595,2500.8825972903664,5635.1952668063095,3035.782262767754,5492.449148813127,2987.850135459656,6021.641512856782,3141.4061709857137,5884.424448371531,2898.492508471606,5925.633348236295,2990.2912696276085,6055.2280675347965,3587.20453969513,6138.483396100317,2997.648036989545,6370.293979037515,3442.123254617459,6187.80742933415,3140.255766303996,6243.439310109511,3568.780725737342,6393.113314544971,3246.908337741023,6540.176631368787,3383.5522848567484,6688.266930476364,3476.123807077027,6610.602671068079,3470.508075931646,6352.664400291848,3584.8741949706214,6814.805936262424,3477.4269409337335,6479.5483286551735,3504.4528706621886,7023.649706081427,3623.462946634232,6944.0237529167025,3755.045208561731,6850.6312685890825,3787.391496469901,7002.891696774405,3776.2311696932056,7124.354578223976,3631.914044924252,7250.951433106608,4060.6676875538055,6995.723507032149,3804.308531183765,6966.724012939494,4055.7495666118457,7109.312807654756,4060.068350109208,7253.896096989936,4014.42139602285,7398.655550983933,3720.191481866091,7445.99458438129,3593.6929659530997,7557.418891432378,3921.145718598339,7229.268036329876,4144.632193082105,7676.025155114387,4198.900463621934,7500.315719899221,4103.231568207386,7323.71173726223,4090.326976323006,7607.908524696581,4033.2281722827456,7815.15973451735,3991.4414762747388,7607.738205728199,4135.751621535285,7914.222887383898,4150.388370723329,7482.577010892805,3904.990935023282,7798.473971256802,4165.702222897121,7568.361639988205,4078.7973804421326,7756.5527667083925,4233.577540550335,8119.681843418374,4046.1025520707926,7738.053080255799,4401.6105950639685,7675.782974864658,4248.467389428936,7835.989037834676,3784.9245377657912,7778.705077906915,4023.5235026865353,7996.384938397483,4236.811929631322,7780.903629793396,4324.838889987988,8706.75022159599,4592.025934050688,7864.924598838096,3831.38335990485,8121.771690565541,4428.045665176901,8216.48144011666,4193.238268911971,8316.693448334101,4591.368108039201,8184.213024425667,4112.875085156192,8342.099080688651,4074.6680471727327,8093.54114441074,4301.0819774116835,8235.616588800915,4151.474241585178,8213.665499742694,4008.8855826497315,7912.641813383604,4275.162782458982,8031.227878545426,4628.9891938786
Chiffon,Jelly Filled,Butter Toffee,Apricot,Olive,Slugworth,2756.8919609152495,1739.9007973862288,1791.9751076871873,1533.0236650610477,1735.868122530382,1824.0821827200707,2637.470462058636,1707.7450995493903,1621.9946758239578,1814.318681445464,1669.867918586996,1681.5479766869494,2830.9472298753726,1732.0847184236306,1739.759848141241,1647.5851422716707,1750.293268674224,1710.3177135371427,2805.9026002788387,1751.7678830088494,2009.6312727880131,1937.539053996264,1735.0978307291475,1839.490125132434,2799.1599899863713,1566.9712343700367,1752.0972936505848,1573.0711230842603,1760.8298230372445,1795.2547836876915,2754.540708967767,1886.366522996561,1807.204970429269,1740.528223378014,1766.9910718936162,1703.0600296711045,2771.540146180627,1753.2626601022107,1783.5249529080447,1673.2636843584978,1632.9995952921245,1731.1949625527466,2637.56085630705,1669.5888908739587,1861.4889768236496,1867.540105347013,1726.6130582524816,1717.646576749222,2620.001278514519,1814.462514836502,1789.383088089205,1873.8443540243697,1821.51484661596,1887.7879513699672,2661.122854292156,1832.8386781243366,1980.4304716635556,1754.7796933028021,1748.6749935116195,1911.5611062738933,2834.660467821591,1835.7140143663078,1561.3919866899128,1808.6763464281516,1777.9232616937907,1708.0603320079513,2864.364602784329,1750.581917071616,1754.602121297811,1617.2617602071807,1897.2218601135748,1774.0678537310262,2672.1832931917106,1619.745936235261,1954.3577753321256,1748.2307137447103,1798.1588626695057,1660.1355323236853,2829.435206124307,1748.8214360988725,1714.0913067827928,1887.8476251834566,1642.6238081190845,1865.7183451877765,2744.9065417855127,1653.0679790549311,1848.755189227422,1677.5771937903214,1845.1303492958705,1775.8598117577624,2661.1053049872394,1719.6661530417123,1842.1420545079861,1500.0573119313674,1731.0642891279867,1675.7582039967772,2904.893169550639,1789.9923333101142,1810.1254862645255,1795.3796846116843,1907.7715052269652,1973.0797079473039,2865.8691667355547,1574.8507371434232,1783.4591103408777,1787.1647509975583,1752.6896553360075,1734.4781463289412,2804.4977437123757,1956.6415390014292,1909.7524117564103,1693.2514431552588,1748.2119588883163,1842.8436370588215,2757.454985275239,1674.1840586185376,1698.962332207452,1631.7352851454546,1769.1156201889432,1663.8514026811415,2919.917902099731,1830.1868566048981,1864.015448994675,1800.566322917607,1625.1302745994378,1908.316218589178,2696.631510613545,1859.0176360973742,1690.0426993313101,1764.4108658361213,1909.6087092605198,1711.7803166003891
Pound,Jelly Filled,Watermelon,Hazelnut,Teal,Zebrabar,4497.576216594356,4040.2550672927296,4173.271110477112,4846.205891750729,4559.571061517732,4931.0017133198335,5864.3492056094055,5131.785425325852,5047.6424530183485,6633.581853681728,5967.021518030562,5958.079528903509,6752.270073801073,6436.390984233833,6212.738290650667,7472.496258296405,6685.677198915599,6966.575545133632,8473.270378391775,7297.549825695514,7707.174520435444,8808.444112343008,7718.021089850013,8132.909101003525,9287.703211796475,8587.950308977714,8558.200688848783,9915.929262123553,8976.267905032773,9749.052894006883,10168.170897670361,9561.320118085874,9630.09925600522,11360.229797563015,10308.307201342324,10387.475586573804,12339.05282680961,10566.660724360181,11471.499999669692,12705.086188767917,11205.574212438383,11607.537026103062,13331.263263180283,12320.015689268761,11865.192562587361,13948.023445038747,13235.411760853889,13089.409924492278,14450.415990787338,13336.575164507058,14036.249605002762,16208.20745901022,14111.800519974415,13664.549290235105,15532.97652678419,13933.746595200988,14570.775708735184,16402.116277755453,14870.335819981427,15463.15516260708,16366.898085032586,15739.85052275935,16164.560556587987,17838.849415515793,15339.000797013685,15466.030392546578,18217.095990559952,15901.024599584893,16693.342475282112,19129.413279377586,17480.806806368844,17254.915351831914,19631.382633660567,18308.04287853571,18244.405766339267,19858.0641804167,17572.6954047357,18448.070521740898,20572.012876864996,19188.350601158178,19169.399080193252,21769.939462511862,19714.12115559484,19669.58334352767,23063.227181535633,19952.438737402565,20230.774418407884,22004.342133658647,20528.307641090687,21215.980607681955,22471.641823892332,20513.32321318511,20639.480882564803,23560.20426649076,21331.561966928442,21732.326782771077,24272.01645791308,23181.45286776835,22539.6583297952,25959.893101120677,22525.938405992223,21832.258340289434,26835.255142766502,23647.461699494612,23132.088153497843,27772.170815040827,24091.361166696428,23955.221627239305,28331.44878677667,24035.187380138042,24036.739821985957,28073.970613593046,25441.231577104096,25853.803098105516,28281.362127977085,25970.63191433437,26777.338306397945,27914.482238254466,25406.121151886753,27348.787980854202,31584.710923359595,27186.199234112264,26750.73264590846,30700.50194877765,28642.48493719797,26968.749650066486,30099.457482549784,28494.601805554194,28321.90447774435,31283.410335928376,30742.096588682965,29437.688482430705
Sponge,Chocolate Outer,Blueberry,Apricot,Black,Perk-a-Cola,28702.96549521671,19427.09743155924,18849.798900089398,30484.028683768807,19924.181688263543,20222.080177576823,31709.73045918152,20384.392332028856,20630.33009878849,32539.022799336963,21838.958712192096,21319.597782753288,34186.40161508883,21917.15228259163,21885.968646566573,34740.58241983367,22504.120061149704,22714.914894806312,35508.8116543099,22510.593732548685,23380.098581443355,35620.07655795188,22846.080553351472,23556.897275422885,36913.38607002268,24059.17171287118,23902.631366521422,37559.50246265212,24403.002474632045,24349.15424946734,38645.24338385044,24194.238501458018,24721.903789940225,38448.781370278026,25169.914422859667,25728.185730603313,38931.07040968575,25164.249545051553,25429.48020744924,39525.87963775861,26107.58446831556,26117.716190447474,39985.69023699566,26078.619510010314,25538.68723637311,41128.92677062445,26717.00510403983,25305.965764271998,40809.607765199806,25429.324364924134,26770.32186311744,42005.88674668979,26650.03434412085,26991.559232535637,41722.43630475325,26943.664379561003,26868.91811317592,42616.26292971797,26587.671106328406,26724.498209306428,42291.9058317902,27157.095011893503,27232.58589894497,42046.30599336961,28267.33041009772,27958.258391907733,43909.98457734355,28229.117338059954,27843.057483479683,44475.198453280624,28760.40235229889,28430.130945999717,44268.65282702888,28659.684532269926,29020.779532303335,43873.430520266505,28478.61985057348,28213.72546614368,44986.64641996036,28657.11355984771,27976.49309535431,44762.2750690064,28489.637170251503,28956.44232689572,44670.05381418491,29234.758091888816,29405.464914442724,45620.8095902449,28557.01742108188,29489.17378989446,45589.25588082372,28904.36652922804,29397.00674187965,46759.57551969974,28983.506879688928,30398.987639840572,47520.39705790127,28822.55425667646,29923.54196321883,46521.30205311959,30044.538756241865,30454.367647187715,47156.79970851102,29688.69012191703,30799.402636013256,47031.28100961136,30245.13225788548,30414.314777039963,47950.09173096393,30545.21945652513,29685.470325896935,47084.47121429973,30820.782026641147,30749.88706614905,48123.104809389064,29882.93706368662,30422.29299695301,48631.25497310197,31669.626240994865,29683.787503702766,48346.771686958,31337.801361837748,31693.933353885102,48742.96219484136,30702.735500317685,30688.94649955928,48238.459147180896,30708.369163271058,31409.708741769617,47790.66162390861,30437.83195335825,31364.346744643048
Chiffon,Jelly Filled,Orange,Egg Nog,Opal,Slugworth,2729.1635504580677,1612.2014989025888,1638.9658796129747,2790.962820384783,1730.2522701076857,1660.0589393256835,2974.0604546077284,1508.1336699841538,1450.9703870346443,2995.2276524446143,1462.6381994747062,1455.6963262721165,2934.595038157908,1599.1997888913995,1620.9956346045392,2919.876553921531,1562.6148064849087,1535.1203544980165,3012.9626878110007,1570.150440293248,1679.9274726700476,2999.2387190045556,1622.8667405127258,1513.8094778608386,2931.619251275246,1617.1115476814368,1879.0893696221306,3084.611162705764,1642.3133487140847,1430.8827740702357,2882.736685408042,1481.2992217389967,1625.3334174346471,2947.5849120491607,1712.6036418036122,1508.258189153785,3061.708721211872,1591.6145449767273,1643.9639774069242,3033.546869561964,1384.7265809070707,1652.925883202537,3076.247042171457,1492.9989597580425,1531.2307395870355,2963.0415817941607,1612.9777344187212,1635.4592707451452,2979.0763266028594,1559.9825178080273,1380.7784788024537,2811.0321468309567,1524.4183556616204,1567.9431363929107,2755.6019056791247,1639.3658319485119,1460.1699012648332,3047.446690573243,1683.6449665961118,1454.2086753824965,2868.8833575384497,1555.5558607612236,1461.2715844636089,2876.9679007232203,1481.7379177007392,1559.3957192427804,2770.910841512687,1575.3882014216729,1568.3627712804805,2927.5681868398856,1496.471806921398,1612.108206363847,3005.9755856362303,1684.11288798852,1575.8629571083518,2962.844062272048,1647.2236603381964,1553.2520259639716,3011.51977171577,1430.6946519105275,1596.4818409514944,2887.957662424795,1541.4504682114211,1536.0414168064324,2932.931491314484,1491.6044736433025,1551.4564988103625,2823.936564045747,1598.8600901142127,1523.4678346450223,2916.577609734917,1533.9503063295795,1479.0141407388162,2988.0253931785,1520.4144265948144,1624.8979652142311,3041.6127305040022,1583.9458447205425,1519.469107609538,3031.9107991222227,1472.837818199658,1576.5811035249865,3143.3911959151865,1600.4772130242193,1559.5795033241418,2849.0617008449176,1598.0952616957177,1386.2850984305867,3006.379518780472,1456.7547112278726,1484.3831963001755,3040.5975531014683,1383.0902440667228,1613.9669406200364,3028.991140662583,1508.8101725407657,1659.430465372893,3129.3429115567574,1382.3215791270154,1508.2982073550115,2975.087209898556,1529.8527406693202,1614.2466016033782,2914.4931394540918,1528.0938307205854,1551.8987089186194,2967.692535287992,1664.273350157222,1637.1115329256334,2871.58481540441,1410.9663922806567,1467.8496869480973
Sponge,Jelly Filled,Birch Beer,Dill Pickle,Taupe,Slugworth,2164.786437536206,1304.7520647054334,2099.6626021583365,1340.2477646636867,2198.7670283960606,1487.0230058793077,2206.803857099969,1376.111474069455,2070.0542599557107,1471.4278722693098,2103.118991556485,1252.802436374474,2210.079335211834,1410.7898212497266,2135.30321847511,1341.1473681962887,2184.743955851054,1404.995240548606,2263.3211684673824,1501.691539464526,2088.76823196613,1506.4329966100408,2205.7594383706505,1475.7134616948547,2286.201519224208,1469.347995169321,2178.522710829086,1550.611410934939,2150.77236446922,1534.2403973522332,2129.5282667157726,1425.1814013140397,2217.8463263462795,1543.2865175318004,2209.7699205889326,1483.714114209017,2143.0735401098236,1617.7384593942406,2350.6985478012134,1364.0064009168343,2221.6029730466757,1260.8617491407435,2154.251080670966,1301.9515004639566,2247.2711116450014,1267.3861971946317,2273.016392720933,1374.8873090043758,2230.3577315342036,1215.0803095444076,1982.2840467837395,1473.0487307981311,2264.4880694689746,1253.5348622362071,2148.3739385840213,1420.2067618887131,2307.0364178373547,1257.5732655365002,2219.2208365098145,1431.579240120055,2049.7596141628637,1410.1625802144426,2222.161177045169,1386.3771250230843,2085.3753912337397,1585.2261681144287,2078.7110946659996,1375.8007592923543,2177.5643226614725,1431.0342577787,2210.0489170922733,1310.680043575997,2044.5939692639438,1373.1060603028557,2004.826229595352,1202.2592413925793,2144.541036716792,1492.127579812966,2018.7923237536136,1312.343091338578,2111.8769172919333,1427.9033930004748,2152.78451324553,1490.8709454048414,2032.3531189637092,1490.3244214317288,2212.7789475552604,1302.03267046685,2245.9677336439777,1360.1878197844778,2170.2659852409465,1450.4865378213162,2161.2089011854564,1216.3488027753706,2101.262586360584,1378.7700445667504,2180.8003454771047,1273.9091195326992,2143.0955155621696,1489.4224144338218,2131.4009348434074,1468.2306505009044,2207.0483155972647,1290.424295295649,2096.9858987893404,1393.8579332714726,2291.9312876448184,1359.2886122940536,2050.6681481301653,1444.709257100111,2111.388765146704,1254.9245637597571,2160.6908679858075,1177.8056662743184,2047.977879537161,1237.2567544839023,2309.789633118057,1453.9488566418408,2295.592019654645,1357.603125731541,2066.3971454103944,1331.182772477221,2233.27171658849,1416.1825782267051,2223.2943325418155,1419.3922486472256,2138.5960921795495,1467.7424799740488,1967.311756019232,1626.146418267026,2178.0302258150227,1447.3225265864924
Chiffon,Jelly Filled,Birch Beer,Kiwi,Teal,Slugworth,6271.31969912389,3883.1352426793956,3951.11414715013,3975.4154277825132,3879.2999664091712,3981.7364064243516,6260.8541232322905,3996.2845282356425,3983.452453382719,3980.51741218762,4020.9919041746366,3904.0121606367047,6091.2024615573955,3980.0918977862175,3834.291815440811,3850.3432297695094,3962.642475770356,4032.0150028314124,6302.453470168811,3945.5269673181183,3929.0693304049105,4023.6362039050073,3997.833730726403,3794.2723631177555,6169.509012862334,4158.170441232417,3782.2279272242286,3983.5213213668812,3969.925780142222,3859.2285546689704,6302.801375369458,4102.992528964674,3837.9357479635332,3997.153421175838,4074.2438846082314,3966.520253534549,6283.365682250278,3903.11745422016,4124.198255626915,3870.9106530968015,3727.8331599764356,3992.0694345085235,6372.126701844494,4032.9502924097897,3989.5097699012344,4099.908410645942,3918.2514874090007,4015.7600723569058,6239.285722936663,3953.989012040185,3923.971627528032,4130.309901592529,3851.767039955033,4073.054444500651,6196.085312170375,3907.5304818304758,3881.045148341707,3819.4399180319106,3919.7205577368245,4025.7349115918933,6079.293314041597,3962.687104666135,3953.1762056161356,4012.2756147502937,4038.918674067312,4003.0954137899616,6339.142924653834,3909.1940706405767,4070.5469770025206,4104.329537968981,3920.9604416213983,4086.3921201915327,6223.436430298077,4094.4044096391967,3921.1892778195147,4009.9131439618463,3966.8969283220295,3810.298137017289,6351.287027956169,4034.1893592075867,4076.919005921905,3818.984144188002,3990.2314583736347,4130.988432806045,6112.980904701622,4099.140130528359,4048.380580559602,3903.946440034679,4038.7537956720903,3708.941970814616,6152.103938187132,4035.092875819142,3954.395086281735,4119.826569166042,3905.786956747111,3955.1214700761893,6208.908546662544,4044.236741290031,3965.300370511819,4085.2866237563744,4147.118586313453,3942.317840672168,6182.970378412035,3919.1466897614973,3950.557289595052,3910.392706996132,3846.3190114161316,3980.263034925405,6143.6170247672835,3922.4455601719073,3851.0483376038546,3966.886413464203,3989.1953046373847,3905.665529177412,6241.264584622401,3948.166491067341,4044.167203022214,3973.0463713485215,3858.4208432779133,3845.3901515647267,6142.205092405549,3660.825863908336,4124.564069160181,4061.0115856870984,3943.7883425657046,3984.4151870636897,6172.923640596824,4002.9070228608125,3945.147534309297,4146.358542509978,3991.8808618379135,3816.625689940534
